Name,Team Name,BA_Pos,Position,Bats,Throws,List_Year,BA_Rank,Made_MLB,RookieYear,RookieYear2,WAR,Year2,WAR_Year2,Year3,WAR_Year3,Total_WAR,Group
Dee Strange-Gordon,Los Angeles Dodgers,2B-CF,2B,L,R,2011,26,1,2011,2011,0.6,2012,-1.3,2013,0,-0.7,26 - 50
Austin Hedges,San Diego Padres,C-3B-,C,R,R,2014,27,1,2015,2015,0.5,2016,-0.3,2017,1.8,2,26 - 50
Nick Williams,Philadelphia Phillies,RF-OF,RF,L,L,2016,27,1,2017,2017,0.7,2018,0.2,2019,-0.9,0,26 - 50
Brett Wallace,Toronto Blue Jays,1B-3B,1B,L,R,2010,27,1,2010,2010,-0.2,2011,-0.9,2012,-0.1,-1.2,26 - 50
Jose Abreu,Chicago White Sox,1B-DH,1B,R,R,2014,29,1,2014,2014,5.3,2015,3.3,2016,2,10.6,26 - 50
Adalberto Mondesi,Kansas City Royals,SS-2B,SS,R,R,2016,29,1,2016,2016,-0.5,2017,-0.3,2018,2.8,2,26 - 50
Anthony Rendon,Washington Nationals,3B-2B,3B,R,R,2013,30,1,2013,2013,1,2014,6.4,2015,1.1,8.5,26 - 50
Max Kepler,Minnesota Twins,RF-OF,RF,L,L,2016,30,1,2015,2016,1.3,2017,1.5,2018,2.7,5.5,26 - 50
Michael Saunders,Seattle Mariners,RF-LF,RF,L,R,2010,30,1,2009,2010,0.6,2011,-0.5,2012,2.4,2.5,26 - 50
Dalton Pompey,Toronto Blue Jays,LF-RF,LF,B,R,2015,30,1,2014,2015,0.1,2016,0,2017,0,0.1,26 - 50
Michael Taylor,Washington Nationals,CF-OF,CF,R,R,2015,32,1,2014,2015,-0.1,2016,0.3,2017,3.1,3.3,26 - 50
Brett Jackson,Chicago Cubs,CF-RF,CF,L,R,2012,32,1,2012,2012,0.2,2013,,2014,-0.1,0.1,26 - 50
Mason Williams,New York Yankees,CF-RF,RF,L,R,2013,32,1,2015,2015,0.2,2016,-0.1,2017,-0.1,0,26 - 50
Yonder Alonso,San Diego Padres,1B-DH,1B,L,R,2012,33,1,2010,2012,1.1,2013,0.7,2014,0.5,2.3,26 - 50
Josh Bell,Pittsburgh Pirates,1B-DH,1B,B,R,2017,35,1,2016,2016,-0.1,2017,0.6,2018,0.9,1.4,26 - 50
Bubba Starling,Kansas City Royals,CF-RF,CF,R,R,2013,35,1,2019,2019,-0.5,2020,-0.5,2021,,-1,26 - 50
Gary Sanchez,New York Yankees,C-DH,C,R,R,2016,36,1,2015,2016,3.1,2017,4.3,2018,1.7,9.1,26 - 50
Steven Souza,Tampa Bay Rays,RF-OF,RF,R,R,2015,37,1,2014,2015,1.5,2016,0.9,2017,3.8,6.2,26 - 50
Travis D'Arnaud,New York Mets,C-1B-,C,R,R,2014,38,1,2013,2014,2.8,2015,3.4,2016,1,7.2,26 - 50
Gary Brown,San Francisco Giants,CF-LF,CF,R,R,2012,38,1,2014,2014,0.2,2015,,2016,,0.2,26 - 50
David Dahl,Colorado Rockies,LF-OF,LF,L,R,2016,39,1,2016,2016,1.2,2017,1,2018,1.4,3.6,26 - 50
Anthony Gose,Toronto Blue Jays,P-CF-,CF,L,L,2012,39,1,2012,2012,0.6,2013,0.1,2014,0.9,1.6,26 - 50
Clint Frazier,New York Yankees,LF-RF,LF,R,R,2017,39,1,2017,2017,-0.3,2018,-0.1,2019,0.1,-0.3,26 - 50
Brett Lawrie,Toronto Blue Jays,3B-2B,3B,R,R,2011,40,1,2011,2011,2.6,2012,1.9,2013,1.6,6.1,26 - 50
Jorge Alfaro,Philadelphia Phillies,C-3B-,C,R,R,2017,41,1,2016,2017,0.2,2018,3.2,2019,1.3,4.7,26 - 50
Oswaldo Arcia,Minnesota Twins,RF-LF,RF,B,R,2013,41,1,2013,2013,0.2,2014,0.9,2015,-0.4,0.7,26 - 50
Jason Castro,Houston Astros,C,C,L,R,2010,41,1,2010,2010,-0.4,2011,,2012,-0.2,-0.6,26 - 50
Alex Bregman,Houston Astros,3B-SS,3B,R,R,2016,42,1,2016,2016,1,2017,3.5,2018,7.6,12.1,26 - 50
Rougned Odor,Texas Rangers,2B-DH,2B,L,R,2014,42,1,2014,2014,1,2015,2.5,2016,2.5,6,26 - 50
Corey Ray,Milwaukee Brewers,CF-RF,CF,L,L,2017,42,0,,,,,,,,0,26 - 50
Billy Hamilton,Cincinnati Reds,CF-OF,CF,B,R,2014,43,1,2013,2014,2.7,2015,1.2,2016,2.9,6.8,26 - 50
Todd Frazier,Cincinnati Reds,3B-1B,3B,R,R,2010,43,1,2011,2011,0.7,2012,2.5,2013,2.9,6.1,26 - 50
Hunter Renfroe,San Diego Padres,RF-LF,RF,R,R,2017,44,1,2016,2017,0.2,2018,1.6,2019,1.9,3.7,26 - 50
Brandon Nimmo,New York Mets,OF-CF,LF,L,R,2015,45,1,2016,2016,0.1,2017,1.2,2018,4.5,5.8,26 - 50
